user_id,category,source
1840e0b9d4,Продукты,other
4e4f90fcfb,Электроника,context
afea8d72fc,Электроника,other
2824221f38,Продукты,email
373a6055fe,Бытовая техника,other
9b2ab046f3,Электроника,other
9f39d307c3,Электроника,context
44edeffc91,Продукты,context
704474fa2d,Продукты,other
1de31be403,Бытовая техника,other
5da0dedf13,Досуг,context
b71f36a5e4,Продукты,other
79843a685a,Продукты,context
ff68cee0d6,Бытовая техника,context
e8447c40e2,Досуг,email
b9ef8fdf47,Продукты,other
98d290be27,Электроника,other
3fff459bda,Электроника,other
fa0079a5a8,Досуг,other
fdd6b2fc76,Бытовая техника,context
54ecd881a2,Бытовая техника,other
22d2f03a17,Досуг,context
c9fa1b54d5,Продукты,other
3f8e1ccd3f,Электроника,other
81a9988b83,Электроника,context
65f44a2eb7,Досуг,context
6df948569b,Бытовая техника,other
5f8fbb0149,Бытовая техника,other
3ecff691fd,Электроника,context
dd0e912251,Электроника,other
9250593d55,Электроника,other
37c4e090e4,Электроника,other
22fa3ea76f,Электроника,other
73b876b237,Электроника,context
ed6b87f95d,Досуг,context
f983a69d67,Товары для животных,other
4ea17212f8,Продукты,other
c6de96a5e2,Товары для животных,other
4175fd2e58,Электроника,other
d8e3bcee53,Продукты,context
680aa815f9,Продукты,other
4a92a68cf9,Электроника,other
905e60cb52,Бытовая техника,other
393bcfb298,Продукты,other
06d450cc57,Электроника,context
b60ce22f17,Электроника,other
6f159c4c2e,Товары для животных,other
564202f6bd,Электроника,context
1908683775,Электроника,other
8fd957a463,Продукты,other
72e0a3f1d0,Бытовая техника,other
7f5f56e517,Досуг,other
bc1a0a7e26,Досуг,other
17639fe89d,Досуг,other
74c9201f84,Электроника,context
bc4ebda0df,Досуг,other
fe4615dd15,Досуг,other
d2c560746d,Бытовая техника,other
f0a93d52d2,Электроника,other
fe52ded300,Электроника,other
dbe70d84e4,Строительство и ремонт,context
f660dbcc3f,Электроника,context
f93283c9ee,Бытовая техника,other
66bea9bf58,Бытовая техника,other
111c52d9bc,Продукты,other
16dc76e94d,Электроника,other
87f37b380c,Продукты,other
